type,interval_seconds
all_interactions,1.623
all_interactions,4.445
all_interactions,26.18
all_interactions,2.833
all_interactions,2.437
all_interactions,0.018
all_interactions,15.481
all_interactions,0.334
all_interactions,0.628
all_interactions,0.072
all_interactions,1.683
all_interactions,6.736
all_interactions,0.48
all_interactions,0.823
all_interactions,0.144
all_interactions,2.044
all_interactions,0.356
all_interactions,1.317
all_interactions,0.146
all_interactions,2.352
all_interactions,1.599
all_interactions,1.706
all_interactions,2.268
all_interactions,44.192
all_interactions,0.721
all_interactions,26.735
all_interactions,5.155
all_interactions,0.404
all_interactions,4.94
all_interactions,4.233
all_interactions,0.533
all_interactions,38.887
all_interactions,7.463
all_interactions,5.993
all_interactions,3.128
all_interactions,8.05
all_interactions,33.517
all_interactions,14.413
all_interactions,3.881
all_interactions,4.15
all_interactions,3.091
all_interactions,0.831
all_interactions,2.114
all_interactions,0.542
all_interactions,1.73
all_interactions,0.409
all_interactions,2.461
all_interactions,5.263
all_interactions,30.615
all_interactions,2.682
all_interactions,0.567
all_interactions,2.09
all_interactions,11.214
all_interactions,2.88
all_interactions,1.218
all_interactions,5.611
all_interactions,1.3
all_interactions,27.762
all_interactions,0.675
all_interactions,4.012
all_interactions,1.474
all_interactions,3.425
all_interactions,0.633
all_interactions,0.718
all_interactions,1.132
all_interactions,2.253
all_interactions,10.505
all_interactions,2.182
all_interactions,0.128
all_interactions,0.45
all_interactions,32.021
all_interactions,1.345
all_interactions,15.524
all_interactions,11.351
all_interactions,3.0
all_interactions,0.224
all_interactions,0.168
all_interactions,0.34
all_interactions,0.269
all_interactions,0.393
all_interactions,0.23
all_interactions,0.116
all_interactions,0.166
all_interactions,0.354
all_interactions,4.835
all_interactions,0.292
all_interactions,1.267
all_interactions,0.345
all_interactions,1.033
all_interactions,0.265
all_interactions,6.786
all_interactions,0.197
all_interactions,1.812
all_interactions,0.277
all_interactions,1.43
all_interactions,2.699
all_interactions,7.645
all_interactions,14.855
all_interactions,0.133
all_interactions,2.644
all_interactions,19.608
all_interactions,15.792
all_interactions,1.583
all_interactions,1.307
all_interactions,1.647
all_interactions,20.516
all_interactions,0.464
all_interactions,1.497
all_interactions,8.255
all_interactions,1.066
all_interactions,1.633
all_interactions,8.168
all_interactions,6.752
all_interactions,4.197
all_interactions,0.896
all_interactions,2.37
all_interactions,3.842
all_interactions,0.869
all_interactions,1.228
all_interactions,0.873
all_interactions,3.447
all_interactions,1.737
all_interactions,0.133
all_interactions,0.642
all_interactions,2.536
all_interactions,0.775
all_interactions,10.636
all_interactions,2.417
all_interactions,0.856
all_interactions,1.043
all_interactions,1.534
all_interactions,0.954
all_interactions,0.234
all_interactions,5.427
all_interactions,5.785
all_interactions,1.152
all_interactions,24.433
all_interactions,0.433
all_interactions,0.482
all_interactions,6.475
all_interactions,2.828
all_interactions,0.695
all_interactions,7.521
all_interactions,13.1
all_interactions,11.339
all_interactions,0.753
all_interactions,7.471
all_interactions,12.775
all_interactions,0.17
all_interactions,1.359
all_interactions,34.223
all_interactions,8.926
all_interactions,23.762
all_interactions,0.696
all_interactions,9.384
all_interactions,3.064
all_interactions,5.702
all_interactions,5.183
all_interactions,2.258
all_interactions,2.334
all_interactions,12.03
all_interactions,1.514
all_interactions,25.111
all_interactions,1.241
all_interactions,7.645
all_interactions,0.474
all_interactions,1.835
all_interactions,9.623
all_interactions,0.316
all_interactions,7.335
all_interactions,4.08
all_interactions,10.896
all_interactions,5.7
all_interactions,0.797
all_interactions,11.895
all_interactions,3.26
all_interactions,6.095
all_interactions,0.717
all_interactions,2.101
all_interactions,0.122
all_interactions,7.809
all_interactions,0.871
all_interactions,0.922
all_interactions,11.761
all_interactions,1.035
all_interactions,13.272
all_interactions,32.053
all_interactions,2.528
all_interactions,1.244
all_interactions,0.539
all_interactions,0.811
all_interactions,1.104
all_interactions,1.156
all_interactions,31.817
all_interactions,0.994
all_interactions,2.447
all_interactions,2.265
all_interactions,1.483
all_interactions,0.091
all_interactions,1.288
all_interactions,9.392
all_interactions,6.813
all_interactions,1.015
all_interactions,3.123
all_interactions,2.461
all_interactions,0.503
all_interactions,9.661
all_interactions,43.08
all_interactions,12.175
all_interactions,1.452
all_interactions,3.751
all_interactions,2.305
all_interactions,13.719
all_interactions,44.696
all_interactions,2.428
all_interactions,3.39
all_interactions,9.013
all_interactions,18.959
all_interactions,4.146
all_interactions,1.451
all_interactions,0.597
all_interactions,0.981
all_interactions,1.364
all_interactions,0.416
all_interactions,1.982
all_interactions,0.201
all_interactions,1.926
all_interactions,9.509
all_interactions,21.385
all_interactions,1.605
all_interactions,6.198
all_interactions,0.277
all_interactions,2.156
all_interactions,0.93
all_interactions,1.033
all_interactions,1.805
all_interactions,36.627
all_interactions,1.435
all_interactions,1.114
all_interactions,3.497
all_interactions,2.577
all_interactions,0.639
all_interactions,1.984
all_interactions,0.455
all_interactions,0.956
all_interactions,4.152
all_interactions,7.055
all_interactions,3.876
all_interactions,2.977
all_interactions,0.08
all_interactions,1.079
all_interactions,2.717
all_interactions,1.372
all_interactions,3.446
all_interactions,7.165
all_interactions,2.079
all_interactions,2.82
all_interactions,0.82
all_interactions,48.66
all_interactions,14.07
all_interactions,1.67
all_interactions,25.359
all_interactions,0.755
all_interactions,5.237
all_interactions,2.166
all_interactions,23.285
all_interactions,0.499
all_interactions,1.851
all_interactions,1.348
all_interactions,3.335
all_interactions,0.155
all_interactions,1.365
all_interactions,26.892
all_interactions,6.433
all_interactions,1.948
all_interactions,1.765
all_interactions,0.946
all_interactions,1.114
all_interactions,2.792
all_interactions,1.31
all_interactions,46.27
all_interactions,5.904
all_interactions,4.185
all_interactions,3.189
all_interactions,48.493
all_interactions,9.328
all_interactions,2.663
all_interactions,3.268
all_interactions,1.245
all_interactions,4.397
all_interactions,9.42
all_interactions,3.064
all_interactions,0.74
all_interactions,2.285
all_interactions,2.092
all_interactions,2.993
all_interactions,3.673
all_interactions,25.114
all_interactions,1.521
all_interactions,2.52
all_interactions,1.777
all_interactions,8.886
all_interactions,0.939
